Ensemble,baseMean,log2FoldChange,lfcSE,pvalue,padj,symbols
ENSMUSG00000092573,0,NA,NA,NA,NA,Vmn2r-ps43
ENSMUSG00000090864,0,NA,NA,NA,NA,Vmn2r40
ENSMUSG00000109978,0,NA,NA,NA,NA,NA
ENSMUSG00000092611,0,NA,NA,NA,NA,NA
ENSMUSG00000096658,0,NA,NA,NA,NA,Vmn2r39
ENSMUSG00000092312,0,NA,NA,NA,NA,NA
ENSMUSG00000095773,0,NA,NA,NA,NA,Vmn2r38
ENSMUSG00000092575,0,NA,NA,NA,NA,Gm5583
ENSMUSG00000092620,0,NA,NA,NA,NA,NA
ENSMUSG00000092548,0,NA,NA,NA,NA,Vmn2r-ps41
ENSMUSG00000066828,0,NA,NA,NA,NA,Vmn2r37
ENSMUSG00000092561,0,NA,NA,NA,NA,Gm4011
ENSMUSG00000092308,0,NA,NA,NA,NA,Gm3623
ENSMUSG00000096413,0,NA,NA,NA,NA,Gm3616
ENSMUSG00000092551,0,NA,NA,NA,NA,Gm20287
ENSMUSG00000092520,0,NA,NA,NA,NA,NA
ENSMUSG00000090352,0,NA,NA,NA,NA,Vmn2r46
ENSMUSG00000092584,0,NA,NA,NA,NA,NA
ENSMUSG00000096294,0,NA,NA,NA,NA,Vmn2r47
ENSMUSG00000096293,0,NA,NA,NA,NA,NA
ENSMUSG00000093519,0,NA,NA,NA,NA,NA
ENSMUSG00000109661,0,NA,NA,NA,NA,NA
ENSMUSG00000090342,0,NA,NA,NA,NA,NA
ENSMUSG00000110306,0,NA,NA,NA,NA,NA
ENSMUSG00000094107,0,NA,NA,NA,NA,NA
ENSMUSG00000092178,1.948050311,-0.081721831,0.348354456,0.202868463,NA,Gm45351
ENSMUSG00000094280,0,NA,NA,NA,NA,Vmn2r-ps51
ENSMUSG00000093681,0,NA,NA,NA,NA,Vmn2r-ps52
ENSMUSG00000110003,0.017697869,-0.000736279,0.339822974,0.955828139,NA,NA
ENSMUSG00000095914,0,NA,NA,NA,NA,Vmn2r48
ENSMUSG00000110108,0,NA,NA,NA,NA,NA
ENSMUSG00000096180,0,NA,NA,NA,NA,Vmn2r49
ENSMUSG00000094606,0,NA,NA,NA,NA,Vmn2r50
ENSMUSG00000109796,0,NA,NA,NA,NA,NA
ENSMUSG00000058685,0,NA,NA,NA,NA,Vmn2r51
ENSMUSG00000091930,0,NA,NA,NA,NA,Vmn2r52
ENSMUSG00000093766,0,NA,NA,NA,NA,Gm20679
ENSMUSG00000043066,0,NA,NA,NA,NA,Vmn1r66
ENSMUSG00000093781,0,NA,NA,NA,NA,Vmn1r-ps47
ENSMUSG00000093487,0,NA,NA,NA,NA,Vmn1r-ps48
ENSMUSG00000109949,0,NA,NA,NA,NA,NA
ENSMUSG00000110255,0,NA,NA,NA,NA,NA
ENSMUSG00000110098,0,NA,NA,NA,NA,NA
ENSMUSG00000034122,0,NA,NA,NA,NA,Nlrp4d
ENSMUSG00000107520,0,NA,NA,NA,NA,NA
ENSMUSG00000046716,0,NA,NA,NA,NA,Vmn1r67
ENSMUSG00000118408,0,NA,NA,NA,NA,NA
ENSMUSG00000110232,0,NA,NA,NA,NA,Gm18193
ENSMUSG00000047031,0,NA,NA,NA,NA,Vmn1r68
ENSMUSG00000093595,0,NA,NA,NA,NA,Vmn1r-ps49
ENSMUSG00000091662,0,NA,NA,NA,NA,Vmn1r69
ENSMUSG00000111440,0,NA,NA,NA,NA,Vmn1r-ps50
ENSMUSG00000045340,0,NA,NA,NA,NA,Vmn1r70
ENSMUSG00000093534,0,NA,NA,NA,NA,Vmn1r-ps51
ENSMUSG00000093689,0,NA,NA,NA,NA,Vmn1r-ps52
ENSMUSG00000034087,0,NA,NA,NA,NA,Nlrp4b
ENSMUSG00000110034,0,NA,NA,NA,NA,NA
ENSMUSG00000059206,0,NA,NA,NA,NA,Vmn1r71
ENSMUSG00000109800,0,NA,NA,NA,NA,Gm5130
ENSMUSG00000109747,0,NA,NA,NA,NA,NA
ENSMUSG00000110097,0,NA,NA,NA,NA,Zscan4a
ENSMUSG00000109924,0,NA,NA,NA,NA,Gm18781
ENSMUSG00000110402,0,NA,NA,NA,NA,Gm7203
ENSMUSG00000110395,0,NA,NA,NA,NA,NA
ENSMUSG00000109683,0,NA,NA,NA,NA,Gm7836
ENSMUSG00000109900,0,NA,NA,NA,NA,NA
ENSMUSG00000095339,0,NA,NA,NA,NA,Zscan4b
ENSMUSG00000109971,0,NA,NA,NA,NA,NA
ENSMUSG00000094316,0,NA,NA,NA,NA,NA
ENSMUSG00000110111,0,NA,NA,NA,NA,Gm7786
ENSMUSG00000110186,0,NA,NA,NA,NA,NA
ENSMUSG00000110346,0,NA,NA,NA,NA,Gm18122
ENSMUSG00000054272,0,NA,NA,NA,NA,Zscan4c
ENSMUSG00000110072,0,NA,NA,NA,NA,NA
ENSMUSG00000109952,0,NA,NA,NA,NA,NA
ENSMUSG00000110103,0,NA,NA,NA,NA,Zscan4-ps1
ENSMUSG00000110196,0,NA,NA,NA,NA,NA
ENSMUSG00000109730,0,NA,NA,NA,NA,Gm7151
ENSMUSG00000110348,0.328251432,0.005142899,0.339188683,0.942348993,NA,Gm4157
ENSMUSG00000109889,0,NA,NA,NA,NA,Gm3774
ENSMUSG00000110066,0,NA,NA,NA,NA,Gm38430
ENSMUSG00000090714,0,NA,NA,NA,NA,Zscan4d
ENSMUSG00000109595,0,NA,NA,NA,NA,NA
ENSMUSG00000110379,0,NA,NA,NA,NA,NA
ENSMUSG00000110421,0,NA,NA,NA,NA,Gm9689
ENSMUSG00000110112,0,NA,NA,NA,NA,Gm39481
ENSMUSG00000109798,0,NA,NA,NA,NA,Gm5996
ENSMUSG00000110192,0,NA,NA,NA,NA,NA
ENSMUSG00000109976,0,NA,NA,NA,NA,NA
ENSMUSG00000080350,0,NA,NA,NA,NA,NA
ENSMUSG00000095936,0,NA,NA,NA,NA,Zscan4e
ENSMUSG00000110420,0,NA,NA,NA,NA,NA
ENSMUSG00000096500,0,NA,NA,NA,NA,NA
ENSMUSG00000109979,0,NA,NA,NA,NA,Gm45596
ENSMUSG00000110215,0,NA,NA,NA,NA,Gm45598
ENSMUSG00000110005,0,NA,NA,NA,NA,Gm18123
ENSMUSG00000070828,0,NA,NA,NA,NA,Zscan4f
ENSMUSG00000109720,0,NA,NA,NA,NA,NA
ENSMUSG00000109920,0,NA,NA,NA,NA,Gm9604
ENSMUSG00000109786,0,NA,NA,NA,NA,Gm7839
ENSMUSG00000110083,0,NA,NA,NA,NA,NA
ENSMUSG00000110095,0,NA,NA,NA,NA,Aurkc-ps
ENSMUSG00000109950,0,NA,NA,NA,NA,NA
ENSMUSG00000109916,0,NA,NA,NA,NA,NA
ENSMUSG00000110076,0,NA,NA,NA,NA,NA
ENSMUSG00000109763,0,NA,NA,NA,NA,Gm18124
ENSMUSG00000110190,0,NA,NA,NA,NA,NA
ENSMUSG00000109985,0,NA,NA,NA,NA,NA
ENSMUSG00000110307,0,NA,NA,NA,NA,Gm3816
ENSMUSG00000110149,0.102564413,-0.001249269,0.339794343,0.955825329,NA,LOC101056304
ENSMUSG00000110024,0,NA,NA,NA,NA,Gm7210
ENSMUSG00000109694,0,NA,NA,NA,NA,NA
ENSMUSG00000109969,0,NA,NA,NA,NA,Zscan4-ps3
ENSMUSG00000109626,0,NA,NA,NA,NA,Gm18641
ENSMUSG00000092489,0,NA,NA,NA,NA,Vmn1r-ps53
ENSMUSG00000110267,0,NA,NA,NA,NA,NA
ENSMUSG00000095430,0,NA,NA,NA,NA,Vmn1r72
ENSMUSG00000109883,0,NA,NA,NA,NA,NA
ENSMUSG00000110385,0,NA,NA,NA,NA,Gm19093
ENSMUSG00000051687,0,NA,NA,NA,NA,Vmn1r73
ENSMUSG00000110398,0,NA,NA,NA,NA,NA
ENSMUSG00000110182,0,NA,NA,NA,NA,NA
ENSMUSG00000047655,0,NA,NA,NA,NA,Vmn1r74
ENSMUSG00000110173,0.056828252,-0.001171825,0.339797455,0.955826556,NA,Gm6929
ENSMUSG00000092326,0,NA,NA,NA,NA,Vmn1r-ps55
ENSMUSG00000109762,0,NA,NA,NA,NA,NA
ENSMUSG00000043308,0,NA,NA,NA,NA,Vmn1r75
ENSMUSG00000110054,0,NA,NA,NA,NA,Gm18851
ENSMUSG00000092285,0,NA,NA,NA,NA,Vmn1r-ps56
ENSMUSG00000109811,0,NA,NA,NA,NA,NA
ENSMUSG00000115267,0,NA,NA,NA,NA,Vmn1r76
ENSMUSG00000110271,0,NA,NA,NA,NA,NA
ENSMUSG00000092466,0,NA,NA,NA,NA,NA
ENSMUSG00000065368,0,NA,NA,NA,NA,NA
ENSMUSG00000110049,0,NA,NA,NA,NA,Gm3836
ENSMUSG00000092208,0,NA,NA,NA,NA,Vmn1r-ps58
ENSMUSG00000109860,0,NA,NA,NA,NA,Zscan4-ps4
ENSMUSG00000110184,0,NA,NA,NA,NA,NA
ENSMUSG00000092398,0,NA,NA,NA,NA,Vmn1r-ps59
ENSMUSG00000109752,0,NA,NA,NA,NA,Gm18597
ENSMUSG00000110292,0,NA,NA,NA,NA,NA
ENSMUSG00000092318,0,NA,NA,NA,NA,NA
ENSMUSG00000109758,0,NA,NA,NA,NA,Gm18854
ENSMUSG00000095864,0,NA,NA,NA,NA,Vmn1r77
ENSMUSG00000066807,0.40077939,0.001561322,0.338169372,0.9709631,NA,NA
ENSMUSG00000092535,0,NA,NA,NA,NA,Vmn1r-ps61
ENSMUSG00000109686,0,NA,NA,NA,NA,NA
ENSMUSG00000092350,0,NA,NA,NA,NA,NA
ENSMUSG00000109914,0,NA,NA,NA,NA,NA
ENSMUSG00000092248,0,NA,NA,NA,NA,Vmn1r-ps63
ENSMUSG00000061602,0,NA,NA,NA,NA,Vmn1r78
ENSMUSG00000110203,0,NA,NA,NA,NA,NA
ENSMUSG00000096735,0,NA,NA,NA,NA,Vmn1r79
ENSMUSG00000110082,0,NA,NA,NA,NA,Gm19201
ENSMUSG00000115744,0,NA,NA,NA,NA,Vmn1r80
ENSMUSG00000092351,0,NA,NA,NA,NA,Vmn1r-ps64
ENSMUSG00000109630,0,NA,NA,NA,NA,NA
ENSMUSG00000092476,0,NA,NA,NA,NA,Vmn1r-ps65
ENSMUSG00000110121,0,NA,NA,NA,NA,NA
ENSMUSG00000110042,0,NA,NA,NA,NA,Gm4224
ENSMUSG00000115027,0,NA,NA,NA,NA,Vmn1r81
ENSMUSG00000058132,0,NA,NA,NA,NA,Vmn1r82
ENSMUSG00000066804,0,NA,NA,NA,NA,Vmn1r83
ENSMUSG00000096314,0,NA,NA,NA,NA,NA
ENSMUSG00000066803,0,NA,NA,NA,NA,Vmn1r84
ENSMUSG00000092331,0,NA,NA,NA,NA,Vmn1r-ps66
ENSMUSG00000092610,0,NA,NA,NA,NA,Vmn1r-ps67
ENSMUSG00000092359,0,NA,NA,NA,NA,Vmn1r-ps68
ENSMUSG00000092583,0,NA,NA,NA,NA,Vmn2r-ps53
ENSMUSG00000030385,0,NA,NA,NA,NA,2900092C05Rik
ENSMUSG00000081550,0,NA,NA,NA,NA,NA
ENSMUSG00000110022,0,NA,NA,NA,NA,NA
ENSMUSG00000096002,0.032097867,-0.000775074,0.339821133,0.955828139,NA,Vmn2r53
ENSMUSG00000082872,0.119692636,-0.006148526,0.339847718,0.866853134,NA,NA
ENSMUSG00000096593,0,NA,NA,NA,NA,Vmn2r54
ENSMUSG00000117238,0,NA,NA,NA,NA,NA
ENSMUSG00000091045,0,NA,NA,NA,NA,Vmn2r55
ENSMUSG00000090762,0,NA,NA,NA,NA,Vmn2r56
ENSMUSG00000098135,0.050779022,-0.0008267,0.339819137,0.955827251,NA,Gm6946
ENSMUSG00000110031,0,NA,NA,NA,NA,Gm18205
ENSMUSG00000109594,0,NA,NA,NA,NA,NA
ENSMUSG00000109925,0,NA,NA,NA,NA,NA
ENSMUSG00000110119,0.078936982,-0.006174308,0.339845851,0.866857088,NA,NA
ENSMUSG00000110320,0.285013682,0.012244673,0.339854055,0.813468875,NA,NA
ENSMUSG00000065006,0,NA,NA,NA,NA,Gm26325
ENSMUSG00000102084,0.383305504,-0.00676257,0.339910987,0.775951099,NA,NA
ENSMUSG00000030382,0.779358949,-0.020698645,0.340572006,0.424179531,NA,Slc27a5
ENSMUSG00000070817,0.050105796,-0.000808367,0.339819374,0.955827432,NA,Vmn1r85
ENSMUSG00000110268,0,NA,NA,NA,NA,NA
ENSMUSG00000109707,0,NA,NA,NA,NA,Gm4270
ENSMUSG00000070816,0,NA,NA,NA,NA,Vmn1r86
ENSMUSG00000070815,0,NA,NA,NA,NA,Vmn1r87
ENSMUSG00000109830,0.025052898,-0.000749765,0.339822504,0.955828666,NA,NA
ENSMUSG00000117853,0.085021356,-0.000842807,0.339817172,0.955826595,NA,Vmn1r88
ENSMUSG00000048261,0,NA,NA,NA,NA,Gm4879
ENSMUSG00000110365,0.028992815,-0.000759138,0.339821615,0.955828666,NA,Gm38947
ENSMUSG00000109911,0,NA,NA,NA,NA,NA
ENSMUSG00000095629,0,NA,NA,NA,NA,Vmn1r89
ENSMUSG00000092427,0,NA,NA,NA,NA,NA
ENSMUSG00000074547,0.155448443,-0.001751102,0.339774112,0.95582233,NA,Rps8-ps4
ENSMUSG00000087915,0.089243813,0.017912479,0.340251082,0.72460368,NA,NA
ENSMUSG00000108293,0,NA,NA,NA,NA,NA
ENSMUSG00000109929,0,NA,NA,NA,NA,NA
ENSMUSG00000088361,0,NA,NA,NA,NA,NA
ENSMUSG00000005649,0.078371977,-0.006725754,0.339903538,0.751709709,NA,Cabp5
ENSMUSG00000107945,0,NA,NA,NA,NA,Rpl7a-ps14
ENSMUSG00000074378,0,NA,NA,NA,NA,Bsph1
ENSMUSG00000107687,0,NA,NA,NA,NA,Gm44254
ENSMUSG00000098644,0,NA,NA,NA,NA,NA
ENSMUSG00000078800,0,NA,NA,NA,NA,Bsph2
ENSMUSG00000078799,0,NA,NA,NA,NA,Sult2a5
ENSMUSG00000101532,0,NA,NA,NA,NA,Zbed4-ps1
ENSMUSG00000099400,0,NA,NA,NA,NA,NA
ENSMUSG00000100468,0,NA,NA,NA,NA,NA
ENSMUSG00000082586,0,NA,NA,NA,NA,NA
ENSMUSG00000070811,0,NA,NA,NA,NA,Sult2a2
ENSMUSG00000099901,0,NA,NA,NA,NA,Zbed4-ps2
ENSMUSG00000078798,0,NA,NA,NA,NA,Sult2a1
ENSMUSG00000100660,0,NA,NA,NA,NA,Kat6b-ps2
ENSMUSG00000081982,0,NA,NA,NA,NA,Sult2a-ps2
ENSMUSG00000100566,0,NA,NA,NA,NA,NA
ENSMUSG00000074377,0,NA,NA,NA,NA,Sult2a4
ENSMUSG00000099596,0,NA,NA,NA,NA,Zbed4-ps3
ENSMUSG00000099744,0,NA,NA,NA,NA,NA
ENSMUSG00000074375,0,NA,NA,NA,NA,Sult2a3
ENSMUSG00000084102,0,NA,NA,NA,NA,NA
ENSMUSG00000080705,0,NA,NA,NA,NA,NA
ENSMUSG00000100378,0,NA,NA,NA,NA,NA
ENSMUSG00000070810,0,NA,NA,NA,NA,Sult2a6
ENSMUSG00000098354,0,NA,NA,NA,NA,NA
ENSMUSG00000098506,0,NA,NA,NA,NA,Phf20-ps
ENSMUSG00000099216,0,NA,NA,NA,NA,NA
ENSMUSG00000098782,0,NA,NA,NA,NA,NA
ENSMUSG00000107673,0,NA,NA,NA,NA,NA
ENSMUSG00000030378,0.105325092,-0.006736861,0.339904033,0.756320362,NA,Sult2a8
ENSMUSG00000094156,0,NA,NA,NA,NA,Sult2a7
ENSMUSG00000098290,0,NA,NA,NA,NA,Obox4-ps1
ENSMUSG00000098741,0,NA,NA,NA,NA,Obox4-ps2
ENSMUSG00000041596,0.106069081,-0.000867717,0.339815623,0.955825017,NA,NA
ENSMUSG00000099242,0,NA,NA,NA,NA,Obox4-ps3
ENSMUSG00000100586,0,NA,NA,NA,NA,Vmn1r90
ENSMUSG00000099055,0,NA,NA,NA,NA,NA
ENSMUSG00000098520,0.025183706,-0.000805227,0.339822093,0.955828666,NA,NA
ENSMUSG00000093773,0,NA,NA,NA,NA,Obox3-ps7
ENSMUSG00000055942,0,NA,NA,NA,NA,Obox7
ENSMUSG00000093665,0,NA,NA,NA,NA,Obox3-ps1
ENSMUSG00000105566,0,NA,NA,NA,NA,Obox4-ps4
ENSMUSG00000098330,0,NA,NA,NA,NA,NA
ENSMUSG00000098508,0,NA,NA,NA,NA,Ranbp2-ps2
ENSMUSG00000093549,0,NA,NA,NA,NA,Obox4-ps36
ENSMUSG00000093664,0,NA,NA,NA,NA,Obox4-ps37
ENSMUSG00000064977,0,NA,NA,NA,NA,Gm26056
ENSMUSG00000093584,0,NA,NA,NA,NA,NA
ENSMUSG00000106552,0,NA,NA,NA,NA,Obox4-ps5
ENSMUSG00000098309,0,NA,NA,NA,NA,NA
ENSMUSG00000098564,0,NA,NA,NA,NA,NA
ENSMUSG00000093736,0,NA,NA,NA,NA,Obox4-ps38
ENSMUSG00000099198,0,NA,NA,NA,NA,Obox4-ps39
ENSMUSG00000098469,0,NA,NA,NA,NA,NA
ENSMUSG00000094555,0,NA,NA,NA,NA,Obox4-ps6
ENSMUSG00000095998,0,NA,NA,NA,NA,NA
ENSMUSG00000093509,0,NA,NA,NA,NA,NA
ENSMUSG00000105505,0,NA,NA,NA,NA,Obox4-ps7
ENSMUSG00000099056,0,NA,NA,NA,NA,NA
ENSMUSG00000099087,0,NA,NA,NA,NA,NA
ENSMUSG00000093567,0,NA,NA,NA,NA,Obox4-ps8
ENSMUSG00000093707,0,NA,NA,NA,NA,Obox4-ps9
ENSMUSG00000093770,0,NA,NA,NA,NA,Obox3-ps4
ENSMUSG00000105094,0,NA,NA,NA,NA,Obox4-ps10
ENSMUSG00000098382,0,NA,NA,NA,NA,NA
ENSMUSG00000099298,0,NA,NA,NA,NA,NA
ENSMUSG00000094416,0,NA,NA,NA,NA,Obox4-ps11
ENSMUSG00000095952,0,NA,NA,NA,NA,NA
ENSMUSG00000095974,0,NA,NA,NA,NA,NA
ENSMUSG00000093623,0,NA,NA,NA,NA,NA
ENSMUSG00000096414,0,NA,NA,NA,NA,NA
ENSMUSG00000094412,0,NA,NA,NA,NA,NA
ENSMUSG00000093961,0,NA,NA,NA,NA,Obox4-ps17
ENSMUSG00000094967,0,NA,NA,NA,NA,Obox4-ps18
ENSMUSG00000093940,0,NA,NA,NA,NA,Obox4-ps19
ENSMUSG00000096797,0,NA,NA,NA,NA,Obox4-ps20
ENSMUSG00000095922,0,NA,NA,NA,NA,Obox4-ps21
ENSMUSG00000094243,0,NA,NA,NA,NA,Obox4-ps22
ENSMUSG00000096439,0,NA,NA,NA,NA,Obox4-ps23
ENSMUSG00000098404,1.819043137,0.03201378,0.329193566,0.724115705,NA,Mrip-ps
ENSMUSG00000093727,0,NA,NA,NA,NA,NA
ENSMUSG00000106582,0,NA,NA,NA,NA,Obox4-ps24
ENSMUSG00000098561,0,NA,NA,NA,NA,NA
ENSMUSG00000106616,0,NA,NA,NA,NA,Obox4-ps25
ENSMUSG00000093554,0,NA,NA,NA,NA,Obox4-ps26
ENSMUSG00000098744,0,NA,NA,NA,NA,NA
ENSMUSG00000074369,0,NA,NA,NA,NA,Obox2
ENSMUSG00000054310,0,NA,NA,NA,NA,Obox1
ENSMUSG00000098278,0,NA,NA,NA,NA,NA
ENSMUSG00000095274,0,NA,NA,NA,NA,Obox4-ps27
ENSMUSG00000093913,0,NA,NA,NA,NA,Obox4-ps28
ENSMUSG00000093397,0,NA,NA,NA,NA,Obox4-ps29
ENSMUSG00000066772,0,NA,NA,NA,NA,Obox3
ENSMUSG00000093421,0,NA,NA,NA,NA,NA
ENSMUSG00000093719,0,NA,NA,NA,NA,NA
ENSMUSG00000098861,0,NA,NA,NA,NA,NA
ENSMUSG00000098386,0,NA,NA,NA,NA,NA
ENSMUSG00000093513,0,NA,NA,NA,NA,Obox4-ps31
ENSMUSG00000096381,0,NA,NA,NA,NA,NA
ENSMUSG00000105898,0,NA,NA,NA,NA,Obox4-ps32
ENSMUSG00000106346,0,NA,NA,NA,NA,NA
ENSMUSG00000093420,0,NA,NA,NA,NA,Obox4-ps33
ENSMUSG00000095116,0,NA,NA,NA,NA,NA
ENSMUSG00000093683,0,NA,NA,NA,NA,NA
ENSMUSG00000105314,0,NA,NA,NA,NA,NA
ENSMUSG00000074366,0,NA,NA,NA,NA,Obox5
ENSMUSG00000104759,0,NA,NA,NA,NA,NA
ENSMUSG00000105410,0,NA,NA,NA,NA,NA
ENSMUSG00000092576,0,NA,NA,NA,NA,NA
ENSMUSG00000041583,0,NA,NA,NA,NA,Obox6
ENSMUSG00000041578,0,NA,NA,NA,NA,Crx
ENSMUSG00000074365,0.027729744,-0.00082829,0.339822375,0.955828666,NA,Crxos
ENSMUSG00000106050,0.027989439,-0.00076186,0.339821865,0.955828666,NA,Ass-ps1
ENSMUSG00000080478,0.307165067,-0.009430028,0.339983148,0.674135798,NA,Snord23
ENSMUSG00000093249,0.131073903,-0.0008809,0.33981519,0.955825127,NA,NA
ENSMUSG00000030376,1.719784134,-0.006905018,0.334547518,0.908343141,NA,Slc8a2
ENSMUSG00000110413,0,NA,NA,NA,NA,NA
ENSMUSG00000080413,0,NA,NA,NA,NA,Gm26473
ENSMUSG00000110181,1.044589157,0.041726599,0.336671929,0.558097274,NA,NA
ENSMUSG00000065893,0,NA,NA,NA,NA,NA
ENSMUSG00000099423,0,NA,NA,NA,NA,Gm17826
ENSMUSG00000101135,0.372568201,0.012997589,0.339803284,0.77836605,NA,Gm17981
ENSMUSG00000100583,0.273791731,-0.00097247,0.339353498,0.892819289,NA,Gm29443
ENSMUSG00000108316,0.078058904,-0.001296552,0.339795643,0.955825322,NA,NA
ENSMUSG00000101008,0,NA,NA,NA,NA,NA
ENSMUSG00000064745,0,NA,NA,NA,NA,Gm24708
ENSMUSG00000108610,0,NA,NA,NA,NA,NA
ENSMUSG00000108307,0,NA,NA,NA,NA,NA
ENSMUSG00000078795,0.125737268,-0.006149363,0.339842579,0.866854832,NA,Ceacam15
ENSMUSG00000108370,0,NA,NA,NA,NA,Gm8209
ENSMUSG00000108366,0.702598834,0.000149911,0.33791229,0.9616798,NA,Gm5586
ENSMUSG00000007209,0,NA,NA,NA,NA,Ceacam9
ENSMUSG00000108671,0,NA,NA,NA,NA,NA
ENSMUSG00000070802,1.215919641,-0.024286647,0.336841723,0.634543574,NA,Pnma8b
ENSMUSG00000064689,0.027098522,-0.000763397,0.339822073,0.955828666,NA,Gm25815
ENSMUSG00000041141,0.553788938,-0.005531241,0.339089054,0.818471139,NA,Pnma8a
ENSMUSG00000108348,1.06995662,0.01811157,0.336793228,0.747828155,NA,Pnma8c
ENSMUSG00000041117,2.864590822,-0.028835984,0.332168066,0.713398174,NA,Ccdc8
ENSMUSG00000108807,0.067445358,-0.000823561,0.339817801,0.955826484,NA,NA
ENSMUSG00000066760,0.043691301,-0.000792086,0.339820303,0.955828666,NA,Psg16
ENSMUSG00000108561,0,NA,NA,NA,NA,Gm45219
ENSMUSG00000108694,0.028060589,-0.000810352,0.339821176,0.955828139,NA,Gm7287
ENSMUSG00000053228,0,NA,NA,NA,NA,Ceacam3
ENSMUSG00000108462,0,NA,NA,NA,NA,NA
ENSMUSG00000023159,0.200547222,-0.00136325,0.339789793,0.955822521,NA,Psg29
ENSMUSG00000108782,0,NA,NA,NA,NA,NA
ENSMUSG00000108441,0,NA,NA,NA,NA,NA
ENSMUSG00000096673,0,NA,NA,NA,NA,NA
ENSMUSG00000094381,0,NA,NA,NA,NA,NA
ENSMUSG00000108792,0,NA,NA,NA,NA,NA
ENSMUSG00000108654,0,NA,NA,NA,NA,Gm9519
ENSMUSG00000108558,0,NA,NA,NA,NA,NA
ENSMUSG00000108638,0,NA,NA,NA,NA,NA
ENSMUSG00000008789,0,NA,NA,NA,NA,Ceacam5
ENSMUSG00000063830,0,NA,NA,NA,NA,NA
ENSMUSG00000108685,0,NA,NA,NA,NA,NA
ENSMUSG00000023185,0,NA,NA,NA,NA,Ceacam14
ENSMUSG00000078793,0,NA,NA,NA,NA,Gm5155
ENSMUSG00000030368,0,NA,NA,NA,NA,Ceacam11
ENSMUSG00000057195,0,NA,NA,NA,NA,Ceacam13
ENSMUSG00000093207,0,NA,NA,NA,NA,NA
ENSMUSG00000108331,0.025052898,-0.000749765,0.339822504,0.955828666,NA,Gm5322
ENSMUSG00000030366,0,NA,NA,NA,NA,Ceacam12
ENSMUSG00000108545,0,NA,NA,NA,NA,NA
ENSMUSG00000066756,0,NA,NA,NA,NA,Igfl3
ENSMUSG00000108798,0,NA,NA,NA,NA,NA
ENSMUSG00000054005,0,NA,NA,NA,NA,Mill1
ENSMUSG00000108374,0,NA,NA,NA,NA,NA
ENSMUSG00000003505,0,NA,NA,NA,NA,Psg18
ENSMUSG00000109235,0,NA,NA,NA,NA,NA
ENSMUSG00000109209,0.158162053,0.014612797,0.340003808,0.762814078,NA,NA
ENSMUSG00000076332,0,NA,NA,NA,NA,NA
ENSMUSG00000030373,0,NA,NA,NA,NA,Psg28
ENSMUSG00000109264,0,NA,NA,NA,NA,NA
ENSMUSG00000108906,0,NA,NA,NA,NA,NA
ENSMUSG00000070799,0,NA,NA,NA,NA,Psg26
ENSMUSG00000109504,0,NA,NA,NA,NA,NA
ENSMUSG00000109355,0.025389511,-0.000747573,0.339822246,0.955828666,NA,NA
ENSMUSG00000070798,0,NA,NA,NA,NA,Psg25
ENSMUSG00000065313,0,NA,NA,NA,NA,NA
ENSMUSG00000070797,0,NA,NA,NA,NA,Psg27
ENSMUSG00000109525,0,NA,NA,NA,NA,NA
ENSMUSG00000109159,0,NA,NA,NA,NA,NA
ENSMUSG00000074359,0,NA,NA,NA,NA,Psg23
ENSMUSG00000108992,0,NA,NA,NA,NA,NA
ENSMUSG00000109053,0,NA,NA,NA,NA,NA
ENSMUSG00000070796,0,NA,NA,NA,NA,Psg21
ENSMUSG00000109180,0,NA,NA,NA,NA,NA
ENSMUSG00000063305,0,NA,NA,NA,NA,Psg20
ENSMUSG00000109571,0,NA,NA,NA,NA,NA
ENSMUSG00000108882,0,NA,NA,NA,NA,NA
ENSMUSG00000044903,0,NA,NA,NA,NA,Psg22
ENSMUSG00000109292,0,NA,NA,NA,NA,NA
ENSMUSG00000108835,0,NA,NA,NA,NA,NA
ENSMUSG00000109023,0,NA,NA,NA,NA,NA
ENSMUSG00000096479,0,NA,NA,NA,NA,NA
ENSMUSG00000109234,0,NA,NA,NA,NA,NA
ENSMUSG00000109116,0,NA,NA,NA,NA,Sycp1-ps1
ENSMUSG00000004542,0.027729744,-0.00082829,0.339822375,0.955828666,NA,Psg19
ENSMUSG00000109490,0,NA,NA,NA,NA,Gm19126
ENSMUSG00000004540,0.066621691,-0.006128021,0.339840624,0.866857088,NA,Psg17
ENSMUSG00000108471,0,NA,NA,NA,NA,NA
ENSMUSG00000051965,0.475323377,0.025122472,0.340231561,0.634154967,NA,Nanos2
ENSMUSG00000108428,0,NA,NA,NA,NA,NA
ENSMUSG00000040891,0.61648186,-0.003337038,0.339707791,0.94279996,NA,Foxa3
ENSMUSG00000040866,0.127501107,-0.006754128,0.339907819,0.756319528,NA,Rsph6a
ENSMUSG00000092659,0.544041974,-0.001998967,0.339766451,0.955812515,NA,Mir3100
ENSMUSG00000085601,0.358985944,-0.001997735,0.339766433,0.955812863,NA,Meiosin
ENSMUSG00000065543,0,NA,NA,NA,NA,Mir330
ENSMUSG00000064580,0.53813754,0.00594463,0.339099722,0.917780174,NA,Gm25134
ENSMUSG00000097266,0,NA,NA,NA,NA,NA
ENSMUSG00000108854,1.642367013,0.059228408,0.345340266,0.24980929,NA,NA
